salary,job_id,bottomSalary,company,time,address,topSalary,job_name
0.8-1万/月,74926592,8.0,杭州华量软件有限公司,12-02,杭州-滨江区,10.0,JAVA算法工程师
1-1.5万/月,95139390,10.0,富爵（深圳）金融服务有限公司,12-01,深圳-南山区,15.0,测试工程师
0.9-2万/月,91230017,9.0,杭州免趣生物科技有限公司,12-01,杭州-滨江区,20.0,Node.js开发工程师（嵌入式方向）
0.8-1万/月,95606611,8.0,上海开宸展览服务有限公司,12-01,上海-青浦区,10.0,Web后端开发工程师
1.5-2万/月,95882334,15.0,青岛俊铖游乐有限公司,12-01,青岛-黄岛区,20.0,JAVA服务端工程师
4.5-6千/月,93849430,4.5,广东快乐种子科技有限公司,12-01,广州-越秀区,6.0,网络维护工程师
1-1.5万/月,93686580,10.0,运策物流,12-01,南京-鼓楼区,15.0,运维工程师
0.8-1万/月,94239573,8.0,上海申银万国证券研究所有限公司,12-01,上海,10.0,金融工程分析师(2018届校园招聘项目)
0.6-1万/月,92052207,6.0,量子高科（中国）生物股份有限公司,12-01,广州,10.0,生物信息分析研究员
0.8-1万/月,96411795,8.0,中科政兴（上海）医疗科技有限公司,12-01,上海-黄浦区,10.0,生物信息工程师
3-4.5千/月,96411606,3.0,唐山海森电子股份有限公司,12-01,唐山,4.5,后台运维
4.5-7千/月,82354863,4.5,云南中科灵长类生物医学重点实验室,12-01,昆明,7.0,研究助理
0.8-1万/月,92995785,8.0,天津亨佳医学检验有限公司,12-01,天津-北辰区,10.0,生物信息工程师
4.5-6千/月,94126632,4.5,第五大道奢侈品网,12-01,北京-朝阳区,6.0,Web前端开发工程师
2-3.5万/月,91551121,20.0,海闻科技有限公司,12-01,北京-海淀区,35.0,图像识别工程师
1.5-3万/月,94964113,15.0,上海通善互联网金融信息服务有限公司,12-01,上海-浦东新区,30.0,产品经理（金融中后台）
0.8-1万/月,87865628,8.0,北京旋极伏羲大数据技术有限公司,12-01,北京-海淀区,10.0,大数据软件设计师
0.8-1万/月,86291337,8.0,全讯汇聚网络科技（北京）有限公司,12-01,北京-丰台区,10.0,自动化测试工程师
1.5-2万/月,96401612,15.0,暖游（上海）国际旅行社有限公司,12-01,上海-浦东新区,20.0,高级运维工程师
0.8-1万/月,94514808,8.0,杭州召唤科技有限公司,12-01,杭州-西湖区,10.0,运维工程师:
0.8-1万/月,96400246,8.0,新电信息科技（苏州）有限公司,12-01,苏州,10.0,Software Quality Assurance Engineer
4.5-6千/月,91499974,4.5,上海柏为电子科技有限公司,12-01,上海-普陀区,6.0,数据分析助理
0.8-1万/月,95727300,8.0,上海光子文化传播有限公司,12-01,上海-徐汇区,10.0,高级特效师
0.8-1万/月,85621003,8.0,广州露云娜美露营地投资管理有限公司,12-01,广州-番禺区,10.0,运维工程师
1.5-2万/月,90424736,15.0,福州靠谱网络有限公司,12-01,上海-浦东新区,20.0,C++高级工程师
10-20万/年,88338683,8.33333333333,福建博思软件股份有限公司,12-01,福州,16.6666666667,质控经理
0.8-1万/月,88298621,8.0,合科软件（北京）有限责任公司,12-01,北京-朝阳区,10.0,PipelineTD
0.5-1万/月,95512700,5.0,金财互联数据服务有限公司,12-01,广州-黄埔区,10.0,爬虫开发工程师
1-1.5万/月,86680129,10.0,中国信息安全研究院有限公司,12-01,北京-昌平区,15.0,工业大数据项目总监
1.5-2万/月,93221833,15.0,智付电子支付有限公司,12-01,深圳-罗湖区,20.0,系统工程师（网联）
