company,create_time,job_city,job_id,job_name,key_word,salary,salary_avg,salary_max,salary_min
东莞市蓝天电脑软件咨询有限公司,2018-05-05 00:00:00,东莞,97511814,应届毕业生,C++,6-8千/月,11.0,8.0,6.0
广东铭利达科技有限公司,2018-05-05 00:00:00,东莞,98106682,表面处理工程师,C++,0.8-1万/月,14.0,10.0,8.0
东莞市必利服饰有限公司,2018-05-05 00:00:00,东莞-虎门镇,100490284,运维工程师,硬件,4.5-6千/月,8.25,6.0,4.5
东莞市优家家居用品有限公司,2018-05-05 00:00:00,东莞,85995994,外贸业务员,C++,1-1.5万/月,20.0,15.0,10.0
珠海市运泰利自动化设备有限公司,2018-05-05 00:00:00,异地招聘,90846885,电子工程师,硬件,0.8-1万/月,14.0,10.0,8.0
福建省世新工程营造有限公司广东分...,2018-05-05 00:00:00,东莞-南城区,90554050,人事初级助理,硬件,3-4.5千/月,6.0,4.5,3.0
广东兴华燃气投资集团有限公司,2018-05-05 00:00:00,东莞,100757095,业务主管,C++,3.5-4.5千/月,6.25,4.5,3.5
东莞艾可迅复合材料有限公司,2018-05-05 00:00:00,东莞,100329118,系统测试工程师,硬件,1-1.5万/月,20.0,15.0,10.0
钻石世家国际珠宝有限公司,2018-05-05 00:00:00,东莞,86114522,设计师,C++,6-8千/月,11.0,8.0,6.0
东莞市合为信息科技有限公司,2018-05-05 00:00:00,东莞-桥头镇,94423879,"硬件开发,电子工程师/技术员,电路工程师",硬件,0.8-1万/月,14.0,10.0,8.0
东莞市云通通讯科技有限公司,2018-05-05 00:00:00,东莞,94359124,网络维护工程师,硬件,4.5-6千/月,8.25,6.0,4.5
东莞市力与源电器设备有限公司,2018-05-05 00:00:00,异地招聘,100176693,嵌入式软件工程师,C++,0.8-2.5万/月,29.0,25.0,8.0
广东中金环保科技有限公司,2018-05-05 00:00:00,东莞-南城区,99337369,调试员,C++,4.5-6千/月,8.25,6.0,4.5
东莞博力威电池有限公司,2018-05-05 00:00:00,东莞,101284067,BMS软件工程师,硬件,0.8-1.5万/月,19.0,15.0,8.0
得理乐器（珠海）有限公司,2018-05-05 00:00:00,异地招聘,101457357,软件测试工程师,硬件,4.5-7千/月,9.25,7.0,4.5
东莞市博谐塑料制品有限公司,2018-05-05 00:00:00,东莞-望牛墩镇,75924789,商务司机,C++,3-4.5千/月,6.0,4.5,3.0
广东三鼎实业有限公司,2018-05-05 00:00:00,东莞-南城区,99649562,总经理助理,C++,5-8千/月,10.5,8.0,5.0
东莞市誉凯皮具有限公司,2018-05-05 00:00:00,东莞-大朗镇,82712331,急聘网络管理员,硬件,3-4.5千/月,6.0,4.5,3.0
东莞东明制衣有限公司,2018-05-05 00:00:00,东莞,59630613,IT技术员（国外工作）,硬件,5-8千/月,10.5,8.0,5.0
东莞智得电子制品有限公司,2018-05-05 00:00:00,东莞,97443978,运动控制工程师,C++,1-2万/月,25.0,20.0,10.0
东莞铭基电子科技集团有限公司,2018-05-05 00:00:00,东莞,92230816,业务（日语）,C++,0.5-1万/月,12.5,10.0,5.0
深圳市赛尔盈电子有限公司东莞分公司,2018-05-05 00:00:00,东莞-长安镇,90558550,电子工程师,硬件,5.5-7.5千/月,10.25,7.5,5.5
东莞市迪比科能源科技有限公司,2018-05-05 00:00:00,东莞,101344140,IT工程师,硬件,6-8千/月,11.0,8.0,6.0
东莞市吉玛仕实业有限公司,2018-05-05 00:00:00,东莞-虎门镇,67453181,外贸业务员,C++,6-8千/月,11.0,8.0,6.0
中远泰工业自动化科技有限公司,2018-05-05 00:00:00,异地招聘,97163111,安全员,C++,5-8千/月,10.5,8.0,5.0
金科伟业（中国）有限公司,2018-05-05 00:00:00,东莞-黄江镇,99563682,电子工程师,硬件,6-8千/月,11.0,8.0,6.0
深圳市捷讯实业发展有限公司东莞分...,2018-05-05 00:00:00,东莞-大岭山镇,84341121,网络IT助理,硬件,4-5千/月,7.0,5.0,4.0
东莞市库珀电子有限公司,2018-05-05 00:00:00,东莞-凤岗镇,98997020,TE工程师,硬件,6-8千/月,11.0,8.0,6.0
东莞保力电子有限公司,2018-05-05 00:00:00,东莞,101616033,光伏系统工程师,C++,4.5-6千/月,8.25,6.0,4.5
东莞执信环保科技有限公司,2018-05-05 00:00:00,东莞,98919121,网络推广专员,C++,3-5千/月,6.5,5.0,3.0
